conversation_id,timestamp,message,author
2020-09-30-21-20-40_02e86c6e-ec5d-4fb1-9084-90bd8942cf69_v2YMIYLHtNSjvrNnUE6locHOgE8hEfoHwaEdVxven-tnivl4yKtj8aIQ,2025-03-21 16:26:04,This call may be recorded for quality assurance.,Agent
2020-09-30-21-20-40_02e86c6e-ec5d-4fb1-9084-90bd8942cf69_v2YMIYLHtNSjvrNnUE6locHOgE8hEfoHwaEdVxven-tnivl4yKtj8aIQ,2025-03-21 16:26:27,"Hi, this is [PERSON_NAME] with [ORGANIZATION].",Agent
2020-09-30-21-20-40_02e86c6e-ec5d-4fb1-9084-90bd8942cf69_v2YMIYLHtNSjvrNnUE6locHOgE8hEfoHwaEdVxven-tnivl4yKtj8aIQ,2025-03-21 16:26:34,"It looks like you were connected to me to compare rates on auto insurance today, correct?",Agent
2020-09-30-21-20-40_02e86c6e-ec5d-4fb1-9084-90bd8942cf69_v2YMIYLHtNSjvrNnUE6locHOgE8hEfoHwaEdVxven-tnivl4yKtj8aIQ,2025-03-21 16:26:48,Yes.,Customer
2020-09-30-21-20-40_02e86c6e-ec5d-4fb1-9084-90bd8942cf69_v2YMIYLHtNSjvrNnUE6locHOgE8hEfoHwaEdVxven-tnivl4yKtj8aIQ,2025-03-21 16:27:29,All right.,Agent
2020-09-30-21-20-40_02e86c6e-ec5d-4fb1-9084-90bd8942cf69_v2YMIYLHtNSjvrNnUE6locHOgE8hEfoHwaEdVxven-tnivl4yKtj8aIQ,2025-03-21 16:27:42,"In order to connect you to the right [OCCUPATION], I just need to quickly verify some information.",Agent
2020-09-30-21-20-40_02e86c6e-ec5d-4fb1-9084-90bd8942cf69_v2YMIYLHtNSjvrNnUE6locHOgE8hEfoHwaEdVxven-tnivl4yKtj8aIQ,2025-03-21 16:28:12,May I get a zip code?,Agent
2020-09-30-21-20-40_02e86c6e-ec5d-4fb1-9084-90bd8942cf69_v2YMIYLHtNSjvrNnUE6locHOgE8hEfoHwaEdVxven-tnivl4yKtj8aIQ,2025-03-21 16:28:33,"Can you verify a zip code for me, please? [LOCATION].",Agent
2020-09-30-21-20-40_02e86c6e-ec5d-4fb1-9084-90bd8942cf69_v2YMIYLHtNSjvrNnUE6locHOgE8hEfoHwaEdVxven-tnivl4yKtj8aIQ,2025-03-21 16:28:55,Thank you.,Agent
2020-09-30-21-20-40_02e86c6e-ec5d-4fb1-9084-90bd8942cf69_v2YMIYLHtNSjvrNnUE6locHOgE8hEfoHwaEdVxven-tnivl4yKtj8aIQ,2025-03-21 16:29:12,"All right, and then your first and last name. [PERSON_NAME], [PERSON_NAME], [PERSON_NAME], [PERSON_NAME], [PERSON_NAME], [PERSON_NAME].",Agent
2020-09-30-21-20-40_02e86c6e-ec5d-4fb1-9084-90bd8942cf69_v2YMIYLHtNSjvrNnUE6locHOgE8hEfoHwaEdVxven-tnivl4yKtj8aIQ,2025-03-21 16:29:31,"Last name. [PERSON_NAME], [PERSON_NAME], [PERSON_NAME].",Agent
2020-09-30-21-20-40_02e86c6e-ec5d-4fb1-9084-90bd8942cf69_v2YMIYLHtNSjvrNnUE6locHOgE8hEfoHwaEdVxven-tnivl4yKtj8aIQ,2025-03-21 16:29:41,Yes.,Customer
