opportunity_id,message_id,timestamp,type,lang,origin_lang,media_type,is_edited,is_deleted,is_forwarded,external_outbound_status,external_outbound_error_message,is_reminder,reminder_template_name,auto_offline_message,automatic_response,text
0239d742-8095-4adb-8824-e61bfdd09e9e,8972b471-84cf-496a-ba81-7bd3502bfcbf,2025-04-21 14:00:33,outbound,en_US,en_US,text,NULL,NULL,NULL,delivered,NULL,1,Abandoned_2,NULL,NULL,"Hey, this is Sarah from Company B. Noticed you were looking at our Company B H1H Headphones! I might be able to get you an exclusive discount—interested?"
0239d742-8095-4adb-8824-e61bfdd09e9e,859d8488-63fc-4448-ba0d-16e4f2768a7f,2025-04-21 23:37:50,inbound,en_US,en_US,text,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Sure
0239d742-8095-4adb-8824-e61bfdd09e9e,8f1e16fa-24d1-4679-91da-be7c0fedf102,2025-04-21 23:41:02,outbound,en_US,en_US,text,NULL,NULL,NULL,delivered,NULL,0,NULL,NULL,NULL,Awesome 🤘 I’ll lock in a discount for you. 🎧 What would you be using them for most—music gaming or something else?
0239d742-8095-4adb-8824-e61bfdd09e9e,99486276-43f1-4143-af2b-5013f0d1c6c0,2025-04-21 23:47:57,inbound,en_US,en_US,text,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Music.
0239d742-8095-4adb-8824-e61bfdd09e9e,14b836ba-996d-440c-b2a1-30474cda356b,2025-04-21 23:56:55,outbound,en_US,en_US,text,NULL,NULL,NULL,delivered,NULL,0,NULL,NULL,NULL,Since you’re planning to use them for music you’ll need immersive detailed sound. What headphones are you currently using?
0239d742-8095-4adb-8824-e61bfdd09e9e,015b62d2-62b1-4fc2-a0dd-e50e3a2aaba7,2025-04-22 0:01:29,inbound,en_US,en_US,text,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,JBL ear buds.  Currently I can get a $42 dollar off now will you be able to do better?
0239d742-8095-4adb-8824-e61bfdd09e9e,ede5f86a-ac63-4de5-b0f3-8e35c2d19241,2025-04-22 0:02:02,outbound,en_US,en_US,text,NULL,NULL,NULL,delivered,NULL,0,NULL,NULL,NULL,Would about $55 off be useful?
0239d742-8095-4adb-8824-e61bfdd09e9e,453b4db3-6b8c-4dba-b515-a53543303258,2025-04-22 0:04:36,inbound,en_US,en_US,text,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes.  Only thing is I don't click on text links.  You currently have me Email address.  Send me a code that way.  Thank you 
0239d742-8095-4adb-8824-e61bfdd09e9e,11876307-d00a-48ce-9831-90a33e54f681,2025-04-22 0:04:42,inbound,en_US,en_US,text,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,My
0239d742-8095-4adb-8824-e61bfdd09e9e,2e22ad68-e14e-454d-810c-07f2babe7ea7,2025-04-22 0:05:25,outbound,en_US,en_US,text,NULL,NULL,NULL,delivered,NULL,0,NULL,NULL,NULL,No worries! No link required. Use code VIP55SLN to save $55 off orders over $200 🎧. Valid for 24 hours!
0239d742-8095-4adb-8824-e61bfdd09e9e,b192dc96-36e2-4c0c-aef2-4aafd158872e,2025-04-22 0:07:49,inbound,en_US,en_US,text,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Ok thank you.  I will do it first thing in the morning.  My computer at home sucks lol.
0239d742-8095-4adb-8824-e61bfdd09e9e,1fe2504e-c8df-4a3c-9102-53403e2183fe,2025-04-22 17:43:21,outbound,en_US,en_US,text,NULL,NULL,NULL,delivered,NULL,0,NULL,NULL,NULL,Just checking in 🤘—did you get a chance to use our best discount yet? It’s still live but expiring soon!
0365cb42-08de-43fa-9737-39553cc3d31f,bf5c4b73-c50b-4664-9ec9-435fd1a4e4c2,2024-11-29 10:19:38,outbound,en_US,he,text,NULL,NULL,NULL,read,,1,black_friday,NULL,NULL,Black Friday #WeStarted 🎉🎉🎉Now at Company A: 30% discount across the entire site✨Mattresses✨✨Beds✨✨Bedding✨✨Poofs✨And many more products that will make your weekend happy!🌟 Use coupon code BLACK to get 30% discount!⏳ Offer valid until Saturday midnight only | No double coupons | While supplies lastWant to sleep on it? Not recommended! Click now: https://Company Azzz.co/BlackFriday30To unsubscribe reply with the number 1
0365cb42-08de-43fa-9737-39553cc3d31f,bf5c4b73-c50b-4664-9ec9-435fd1a4e4c2,2024-11-29 10:19:38,outbound,he,he,text,NULL,NULL,NULL,read,,1,black_friday,NULL,NULL,"בלאק פריידי #התחלנו 🎉🎉🎉עכשיו בCompany A: 30% הנחה על כל האתר✨מזרנים✨✨מיטות✨✨מצעים✨✨פופים✨ועוד מגוון מוצרים שיעשו לכם סופש שמח!🌟 השתמשו בקוד קופון BLACK לקבלת 30% הנחה!⏳ המבצע בתוקף עד מוצ""ש בחצות בלבד | ללא כפל קופונים | עד גמר המלאירוצים לישון על זה? לא כדאי! לחצו עכשיו: https://Company Azzz.co/BlackFriday30להסרה יש להשיב את הספרה 1"""
03eb3a01-3d14-41fc-9ae2-6cfeba6e26f8,0fa2d1a3-89b8-4ece-b467-a56cfb49b0de,2025-03-06 14:55:28,outbound,en_US,he,text,NULL,NULL,NULL,read,,1,lona_new,NULL,NULL,"Hey, how are you? This is Luna from Company A🌻 I saw that you were interested in the Company A topper. How can I help you?"
03eb3a01-3d14-41fc-9ae2-6cfeba6e26f8,0fa2d1a3-89b8-4ece-b467-a56cfb49b0de,2025-03-06 14:55:28,outbound,he,he,text,NULL,NULL,NULL,read,,1,lona_new,NULL,NULL,"היי, מה שלומך?זאת לונה מCompany A🌻ראיתי שהתעניינת בטופר Company A.איך אני יכולה לעזור לך?"
03eb3a01-3d14-41fc-9ae2-6cfeba6e26f8,785c17cf-4143-4b60-b01b-1cbc3cfaffa7,2025-03-06 14:57:50,inbound,en_US,he,text,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,I ordered
03eb3a01-3d14-41fc-9ae2-6cfeba6e26f8,785c17cf-4143-4b60-b01b-1cbc3cfaffa7,2025-03-06 14:57:50,inbound,he,he,text,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,הזמנתי
03eb3a01-3d14-41fc-9ae2-6cfeba6e26f8,a702e9e4-ae5e-48c9-812e-45186889aae8,2025-03-06 15:00:18,outbound,en_US,he,text,NULL,NULL,NULL,read,,0,NULL,NULL,NULL,Enjoy your new purchase!!!
03eb3a01-3d14-41fc-9ae2-6cfeba6e26f8,a702e9e4-ae5e-48c9-812e-45186889aae8,2025-03-06 15:00:18,outbound,he,he,text,NULL,NULL,NULL,read,,0,NULL,NULL,NULL,תתחדשי!!!
