"index","opportunity_id","n_conversations","timestamp","company","gender","type","total_amount","status","status_update_timestamp","default_lang","discount_codes","actual_order_items","source","product_ids","raw_order_items","raw_actual_order_items","parsing_errors"
"0","7f555fce-a6e8-42ad-b07d-2e6b822b4132",2,"2025-04-21 4:30:37","Company B","male","Abandoned Cart US","237","ClosedLost","2025-04-22 18:08:11","en_US","NULL","NULL","NULL","['6976330563658', '7078742851658', '7078749798474', '7740375040074', '7840681230410', '7626326016074', '7718752321610', '7451804434506', '7789656506442', '7789656703050', '7805692379210', '7805697392714', '7768523112522', '7805691232330', '7718755434570', '7861416788042', '7478529097802', '7768517017674', '7718753894474', '7805694771274', '7768523767882', '7643297284170', '7505829003338', '7860501938250', '7788820267082', '7508754137162', '7901484351562', '7718909083722', '7787460100170', '7829300215882', '7414215016522', '7078742327370', '7829312503882', '7078742097994', '7829331640394', '7861440675914', '7789656735818', '7861439135818', '7435092623434', '7409735598154', '7861418524746', '7510660284490', '7917351862346', '7902058807370', '7828644134986', '7861442150474', '7831288807498', '7861443035210', '7802861813834', '7788816695370', '7078742523978', '7777799733322', '7919520776266', '7785490153546', '7508017086538', '7805695852618', '7788822954058', '7860523925578', '7505869799498', '7767764435018', '7078742622282', '7861414101066', '7767849369674', '7415266246730', '7078742687818', '7717083021386', '7828637220938', '7805696639050', '7643294892106', '7783798374474', '7759221424202', '7902058184778', '7775961022538', '7483449999434', '7817060712522', '7469777485898', '7078743375946', '7498908500042', '7638853713994', '7783917944906', '7907375906890', '7516645032010', '7078751404106', '7410237505610', '7078751600714', '7760580411466', '7802795262026', '7078750421066']","""[{product_id"": 6976330563658,item_id: ""n/a""},{""product_id"": 7078742851658,item_id: ""n/a""},{""product_id"": 7078749798474,item_id: ""n/a""},{""product_id"": 7740375040074,item_id: ""n/a""},{""product_id"": 7840681230410,item_id: ""n/a""},{""product_id"": 7626326016074,item_id: ""n/a""},{""product_id"": 7718752321610,item_id: ""n/a""},{""product_id"": 7451804434506,item_id: ""n/a""},{""product_id"": 7789656506442,item_id: ""n/a""},{""product_id"": 7789656703050,item_id: ""n/a""},{""product_id"": 7805692379210,item_id: ""n/a""},{""product_id"": 7805697392714,item_id: ""n/a""},{""product_id"": 7768523112522,item_id: ""n/a""},{""product_id"": 7805691232330,item_id: ""n/a""},{""product_id"": 7718755434570,item_id: ""n/a""},{""product_id"": 7861416788042,item_id: ""n/a""},{""product_id"": 7478529097802,item_id: ""n/a""},{""product_id"": 7768517017674,item_id: ""n/a""},{""product_id"": 7718753894474,item_id: ""n/a""},{""product_id"": 7805694771274,item_id: ""n/a""},{""product_id"": 7768523767882,item_id: ""n/a""},{""product_id"": 7643297284170,item_id: ""n/a""},{""product_id"": 7505829003338,item_id: ""n/a""},{""product_id"": 7860501938250,item_id: ""n/a""},{""product_id"": 7788820267082,item_id: ""n/a""},{""product_id"": 7508754137162,item_id: ""n/a""},{""product_id"": 7901484351562,item_id: ""n/a""},{""product_id"": 7718909083722,item_id: ""n/a""},{""product_id"": 7787460100170,item_id: ""n/a""},{""product_id"": 7829300215882,item_id: ""n/a""},{""product_id"": 7414215016522,item_id: ""n/a""},{""product_id"": 7078742327370,item_id: ""n/a""},{""product_id"": 7829312503882,item_id: ""n/a""},{""product_id"": 7078742097994,item_id: ""n/a""},{""product_id"": 7829331640394,item_id: ""n/a""},{""product_id"": 7861440675914,item_id: ""n/a""},{""product_id"": 7789656735818,item_id: ""n/a""},{""product_id"": 7861439135818,item_id: ""n/a""},{""product_id"": 7435092623434,item_id: ""n/a""},{""product_id"": 7409735598154,item_id: ""n/a""},{""product_id"": 7861418524746,item_id: ""n/a""},{""product_id"": 7510660284490,item_id: ""n/a""},{""product_id"": 7917351862346,item_id: ""n/a""},{""product_id"": 7902058807370,item_id: ""n/a""},{""product_id"": 7828644134986,item_id: ""n/a""},{""product_id"": 7861442150474,item_id: ""n/a""},{""product_id"": 7831288807498,item_id: ""n/a""},{""product_id"": 7861443035210,item_id: ""n/a""},{""product_id"": 7802861813834,item_id: ""n/a""},{""product_id"": 7788816695370,item_id: ""n/a""},{""product_id"": 7078742523978,item_id: ""n/a""},{""product_id"": 7777799733322,item_id: ""n/a""},{""product_id"": 7919520776266,item_id: ""n/a""},{""product_id"": 7785490153546,item_id: ""n/a""},{""product_id"": 7508017086538,item_id: ""n/a""},{""product_id"": 7805695852618,item_id: ""n/a""},{""product_id"": 7788822954058,item_id: ""n/a""},{""product_id"": 7860523925578,item_id: ""n/a""},{""product_id"": 7505869799498,item_id: ""n/a""},{""product_id"": 7767764435018,item_id: ""n/a""},{""product_id"": 7078742622282,item_id: ""n/a""},{""product_id"": 7861414101066,item_id: ""n/a""},{""product_id"": 7767849369674,item_id: ""n/a""},{""product_id"": 7415266246730,item_id: ""n/a""},{""product_id"": 7078742687818,item_id: ""n/a""},{""product_id"": 7717083021386,item_id: ""n/a""},{""product_id"": 7828637220938,item_id: ""n/a""},{""product_id"": 7805696639050,item_id: ""n/a""},{""product_id"": 7643294892106,item_id: ""n/a""},{""product_id"": 7783798374474,item_id: ""n/a""},{""product_id"": 7759221424202,item_id: ""n/a""},{""product_id"": 7902058184778,item_id: ""n/a""},{""product_id"": 7775961022538,item_id: ""n/a""},{""product_id"": 7483449999434,item_id: ""n/a""},{""product_id"": 7817060712522,item_id: ""n/a""},{""product_id"": 7469777485898,item_id: ""n/a""},{""product_id"": 7078743375946,item_id: ""n/a""},{""product_id"": 7498908500042,item_id: ""n/a""},{""product_id"": 7638853713994,item_id: ""n/a""},{""product_id"": 7783917944906,item_id: ""n/a""},{""product_id"": 7907375906890,item_id: ""n/a""},{""product_id"": 7516645032010,item_id: ""n/a""},{""product_id"": 7078751404106,item_id: ""n/a""},{""product_id"": 7410237505610,item_id: ""n/a""},{""product_id"": 7078751600714,item_id: ""n/a""},{""product_id"": 7760580411466,item_id: ""n/a""},{""product_id"": 7802795262026,item_id: ""n/a""},{""product_id"": 7078750421066,item_id: ""n/a""}]"",237""","NULL","{'order_items': 'raw_order_items contain unexpected data'}"
"1","a8a4e6ee-da85-4cd6-a2a4-a9b64e35b25e",1,"2025-04-14 16:41:04","Company B","male","Abandoned Cart US","295.74","ClosedLost","2025-04-22 13:07:37","en_US","NULL","NULL","Abandoned Cart Automation","['7718752321610', '7078751404106', '7902934794314', '7548436709450', '7078741704778', '7451804434506', '7626326016074', '7078749798474', '7828631715914', '7805693198410', '7805697392714', '7789656703050', '7643297284170', '7805692379210', '7805691232330', '7789656506442', '7718755434570', '7768523112522', '7478529097802', '7768517017674', '7861416788042', '7805694771274', '7505829003338', '7768523767882', '7901484351562', '7718753894474', '7760580411466', '7788820267082', '7414215016522', '7860501938250', '7508754137162', '7802795262026', '7787460100170', '7718909083722', '7078742327370', '7740375040074', '7829300215882', '7840681230410', '7829312503882', '7078750421066', '7078742851658', '6976330563658', '7078742097994', '7861439135818', '7861440675914', '7829331640394', '7789656735818', '7861418524746', '7409735598154', '7435092623434', '7510660284490', '7902058807370', '7828644134986', '7917351862346', '7788816695370', '7831288807498', '7861442150474', '7861443035210', '7078742523978', '7802861813834', '7777799733322', '7508017086538', '7805695852618', '7788822954058', '7861414101066', '7767764435018', '7785490153546', '7505869799498', '7860523925578', '7078742622282', '7078742687818', '7767849369674', '7415266246730', '7717083021386', '7819141611594', '7410237505610', '7828637220938', '7643294892106', '7805696639050', '7759221424202', '7783798374474', '7817060712522', '7483449999434', '7902058184778', '7078743375946', '7498908500042', '7469777485898', '7775961022538', '7638853713994', '7516645032010', '7078751600714', '7783917944906', '7907375906890']","""[{product_id"": 7718752321610,item_id: ""n/a""},{""product_id"": 7078751404106,item_id: ""n/a""},{""product_id"": 7902934794314,item_id: ""n/a""},{""product_id"": 7548436709450,item_id: ""n/a""},{""product_id"": 7078741704778,item_id: ""n/a""},{""product_id"": 7451804434506,item_id: ""n/a""},{""product_id"": 7626326016074,item_id: ""n/a""},{""product_id"": 7078749798474,item_id: ""n/a""},{""product_id"": 7828631715914,item_id: ""n/a""},{""product_id"": 7805693198410,item_id: ""n/a""},{""product_id"": 7805697392714,item_id: ""n/a""},{""product_id"": 7789656703050,item_id: ""n/a""},{""product_id"": 7643297284170,item_id: ""n/a""},{""product_id"": 7805692379210,item_id: ""n/a""},{""product_id"": 7805691232330,item_id: ""n/a""},{""product_id"": 7789656506442,item_id: ""n/a""},{""product_id"": 7718755434570,item_id: ""n/a""},{""product_id"": 7768523112522,item_id: ""n/a""},{""product_id"": 7478529097802,item_id: ""n/a""},{""product_id"": 7768517017674,item_id: ""n/a""},{""product_id"": 7861416788042,item_id: ""n/a""},{""product_id"": 7805694771274,item_id: ""n/a""},{""product_id"": 7505829003338,item_id: ""n/a""},{""product_id"": 7768523767882,item_id: ""n/a""},{""product_id"": 7901484351562,item_id: ""n/a""},{""product_id"": 7718753894474,item_id: ""n/a""},{""product_id"": 7760580411466,item_id: ""n/a""},{""product_id"": 7788820267082,item_id: ""n/a""},{""product_id"": 7414215016522,item_id: ""n/a""},{""product_id"": 7860501938250,item_id: ""n/a""},{""product_id"": 7508754137162,item_id: ""n/a""},{""product_id"": 7802795262026,item_id: ""n/a""},{""product_id"": 7787460100170,item_id: ""n/a""},{""product_id"": 7718909083722,item_id: ""n/a""},{""product_id"": 7078742327370,item_id: ""n/a""},{""product_id"": 7740375040074,item_id: ""n/a""},{""product_id"": 7829300215882,item_id: ""n/a""},{""product_id"": 7840681230410,item_id: ""n/a""},{""product_id"": 7829312503882,item_id: ""n/a""},{""product_id"": 7078750421066,item_id: ""n/a""},{""product_id"": 7078742851658,item_id: ""n/a""},{""product_id"": 6976330563658,item_id: ""n/a""},{""product_id"": 7078742097994,item_id: ""n/a""},{""product_id"": 7861439135818,item_id: ""n/a""},{""product_id"": 7861440675914,item_id: ""n/a""},{""product_id"": 7829331640394,item_id: ""n/a""},{""product_id"": 7789656735818,item_id: ""n/a""},{""product_id"": 7861418524746,item_id: ""n/a""},{""product_id"": 7409735598154,item_id: ""n/a""},{""product_id"": 7435092623434,item_id: ""n/a""},{""product_id"": 7510660284490,item_id: ""n/a""},{""product_id"": 7902058807370,item_id: ""n/a""},{""product_id"": 7828644134986,item_id: ""n/a""},{""product_id"": 7917351862346,item_id: ""n/a""},{""product_id"": 7788816695370,item_id: ""n/a""},{""product_id"": 7831288807498,item_id: ""n/a""},{""product_id"": 7861442150474,item_id: ""n/a""},{""product_id"": 7861443035210,item_id: ""n/a""},{""product_id"": 7078742523978,item_id: ""n/a""},{""product_id"": 7802861813834,item_id: ""n/a""},{""product_id"": 7777799733322,item_id: ""n/a""},{""product_id"": 7508017086538,item_id: ""n/a""},{""product_id"": 7805695852618,item_id: ""n/a""},{""product_id"": 7788822954058,item_id: ""n/a""},{""product_id"": 7861414101066,item_id: ""n/a""},{""product_id"": 7767764435018,item_id: ""n/a""},{""product_id"": 7785490153546,item_id: ""n/a""},{""product_id"": 7505869799498,item_id: ""n/a""},{""product_id"": 7860523925578,item_id: ""n/a""},{""product_id"": 7078742622282,item_id: ""n/a""},{""product_id"": 7078742687818,item_id: ""n/a""},{""product_id"": 7767849369674,item_id: ""n/a""},{""product_id"": 7415266246730,item_id: ""n/a""},{""product_id"": 7717083021386,item_id: ""n/a""},{""product_id"": 7819141611594,item_id: ""n/a""},{""product_id"": 7410237505610,item_id: ""n/a""},{""product_id"": 7828637220938,item_id: ""n/a""},{""product_id"": 7643294892106,item_id: ""n/a""},{""product_id"": 7805696639050,item_id: ""n/a""},{""product_id"": 7759221424202,item_id: ""n/a""},{""product_id"": 7783798374474,item_id: ""n/a""},{""product_id"": 7817060712522,item_id: ""n/a""},{""product_id"": 7483449999434,item_id: ""n/a""},{""product_id"": 7902058184778,item_id: ""n/a""},{""product_id"": 7078743375946,item_id: ""n/a""},{""product_id"": 7498908500042,item_id: ""n/a""},{""product_id"": 7469777485898,item_id: ""n/a""},{""product_id"": 7775961022538,item_id: ""n/a""},{""product_id"": 7638853713994,item_id: ""n/a""},{""product_id"": 7516645032010,item_id: ""n/a""},{""product_id"": 7078751600714,item_id: ""n/a""},{""product_id"": 7783917944906,item_id: ""n/a""},{""product_id"": 7907375906890,item_id: ""n/a""}]"",295.74""","NULL","{'order_items': 'raw_order_items contain unexpected data'}"
"2","332d36a2-bcbb-4502-823a-62f0b42d238c",2,"2025-03-13 19:26:00","Company B","male","Abandoned Cart US","251.9","ClosedLost","2025-03-31 15:23:07","en_US","NULL","NULL","Abandoned Cart Automation","['6976330563658', '7078749798474']","""[{product_id"": 6976330563658,item_id: ""n/a""},{""product_id"": 7078749798474,item_id: ""n/a""}]"",251.9""","NULL","{'order_items': 'raw_order_items contain unexpected data'}"
"3","841b2cfb-5afc-4d0f-8e94-56d978cdc04a",1,"2025-03-25 16:22:09","Company B","male","Abandoned Cart US","269.24","ClosedLost","2025-03-26 22:08:57","en_US","NULL","NULL","Abandoned Cart Automation","['7548436709450', '7078741704778', '7805693198410', '7805697392714', '7789656703050', '7789656506442', '7768523112522', '7768517017674', '7768523767882', '7787460100170', '7078742097994', '7789656735818', '7435092623434', '7828644134986', '7831288807498', '7788816695370', '7860523925578', '7785490153546', '7788822954058', '7767764435018', '7828637220938', '7759221424202', '7783798374474', '7483449999434', '7775961022538', '7902058184778', '7901484351562', '7718909083722', '7078742327370', '7829300215882', '7829312503882', '7078742687818', '7078742622282', '7078742523978', '7415266246730', '7478529097802', '7414215016522', '7078743375946', '7469777485898', '7902058807370', '7861418524746', '7078742851658']","""[{product_id"": 7548436709450,item_id: ""n/a""},{""product_id"": 7078741704778,item_id: ""n/a""},{""product_id"": 7805693198410,item_id: ""n/a""},{""product_id"": 7805697392714,item_id: ""n/a""},{""product_id"": 7789656703050,item_id: ""n/a""},{""product_id"": 7789656506442,item_id: ""n/a""},{""product_id"": 7768523112522,item_id: ""n/a""},{""product_id"": 7768517017674,item_id: ""n/a""},{""product_id"": 7768523767882,item_id: ""n/a""},{""product_id"": 7787460100170,item_id: ""n/a""},{""product_id"": 7078742097994,item_id: ""n/a""},{""product_id"": 7789656735818,item_id: ""n/a""},{""product_id"": 7435092623434,item_id: ""n/a""},{""product_id"": 7828644134986,item_id: ""n/a""},{""product_id"": 7831288807498,item_id: ""n/a""},{""product_id"": 7788816695370,item_id: ""n/a""},{""product_id"": 7860523925578,item_id: ""n/a""},{""product_id"": 7785490153546,item_id: ""n/a""},{""product_id"": 7788822954058,item_id: ""n/a""},{""product_id"": 7767764435018,item_id: ""n/a""},{""product_id"": 7828637220938,item_id: ""n/a""},{""product_id"": 7759221424202,item_id: ""n/a""},{""product_id"": 7783798374474,item_id: ""n/a""},{""product_id"": 7483449999434,item_id: ""n/a""},{""product_id"": 7775961022538,item_id: ""n/a""},{""product_id"": 7902058184778,item_id: ""n/a""},{""product_id"": 7901484351562,item_id: ""n/a""},{""product_id"": 7718909083722,item_id: ""n/a""},{""product_id"": 7078742327370,item_id: ""n/a""},{""product_id"": 7829300215882,item_id: ""n/a""},{""product_id"": 7829312503882,item_id: ""n/a""},{""product_id"": 7078742687818,item_id: ""n/a""},{""product_id"": 7078742622282,item_id: ""n/a""},{""product_id"": 7078742523978,item_id: ""n/a""},{""product_id"": 7415266246730,item_id: ""n/a""},{""product_id"": 7478529097802,item_id: ""n/a""},{""product_id"": 7414215016522,item_id: ""n/a""},{""product_id"": 7078743375946,item_id: ""n/a""},{""product_id"": 7469777485898,item_id: ""n/a""},{""product_id"": 7902058807370,item_id: ""n/a""},{""product_id"": 7861418524746,item_id: ""n/a""},{""product_id"": 7078742851658,item_id: ""n/a""}]"",269.24""","NULL","{'order_items': 'raw_order_items contain unexpected data'}"
"4","a7a208fb-d8f0-49b0-bf7a-cf5373e6b6aa",6,"2025-04-21 21:35:03","Company B","male","Abandoned Cart US No Consent","287.66","ClosedLost","2025-05-13 19:31:04","en_US","NULL","NULL","Abandoned Cart Automation","['7840681230410', '6976330563658', '7078742851658', '7802795262026', '7760580411466', '7078751404106', '7410237505610']","""[{product_id"": 7840681230410,item_id: ""n/a""},{""product_id"": 6976330563658,item_id: ""n/a""},{""product_id"": 7078742851658,item_id: ""n/a""},{""product_id"": 7802795262026,item_id: ""n/a""},{""product_id"": 7760580411466,item_id: ""n/a""},{""product_id"": 7078751404106,item_id: ""n/a""},{""product_id"": 7410237505610,item_id: ""n/a""}]"",287.66""","NULL","{'order_items': 'raw_order_items contain unexpected data'}"
"5","c22d803d-1ca6-404f-9ef5-7726397baddf",0,"2025-04-16 16:18:31","Company B","male","Abandoned Cart US No Consent","264.1","ClosedLost","2025-04-22 13:06:21","en_US","NULL","NULL","Abandoned Cart Automation","['6976330563658', '7840681230410', '7078742851658']","""[{product_id"": 6976330563658,item_id: ""n/a""},{""product_id"": 7840681230410,item_id: ""n/a""},{""product_id"": 7078742851658,item_id: ""n/a""}]"",264.1""","NULL","{'order_items': 'raw_order_items contain unexpected data'}"
"6","959c2ac9-f0ee-4bea-8b6e-74128d5777c8",1,"2025-04-13 4:57:03","Company B","male","Abandoned Cart US","270.22","ClosedLost","2025-04-20 21:19:02","en_US","NULL","NULL","Abandoned Cart Automation","[]","""[{item_id"": ""40746106323018"",product_id: ""6976330563658"",title: ""Heavys H1H Headphones"",item_title: ""None"",price: ""279.00"",country: ""US""}]"",270.22""","NULL","{'order_items': 'raw_order_items contain unexpected data'}"
"7","5c06cfd0-826b-49f2-8b20-981a6f2f958d",2,"2025-04-15 11:08:38","Company B","male","Abandoned Cart US No Consent","396.98","ClosedLost","2025-04-21 15:27:53","en_US","NULL","NULL","Abandoned Cart Automation","['6976330563658', '7840681230410', '7078749798474', '7078742851658']","""[{product_id"": 6976330563658,item_id: ""n/a""},{""product_id"": 7840681230410,item_id: ""n/a""},{""product_id"": 7078749798474,item_id: ""n/a""},{""product_id"": 7078742851658,item_id: ""n/a""}]"",396.98""","NULL","{'order_items': 'raw_order_items contain unexpected data'}"
"8","af4cfa66-ba36-46ee-94cb-8fb8d388d74d",1,"2025-04-15 20:30:10","Company B","male","Abandoned Cart US No Consent","301.32","ClosedLost","2025-04-18 13:32:51","en_US","NULL","NULL","Abandoned Cart Automation","['6976330563658', '7078749798474', '7078742851658', '7840681230410', '7740375040074']","""[{product_id"": 6976330563658,item_id: ""n/a""},{""product_id"": 7078749798474,item_id: ""n/a""},{""product_id"": 7078742851658,item_id: ""n/a""},{""product_id"": 7840681230410,item_id: ""n/a""},{""product_id"": 7740375040074,item_id: ""n/a""}]"",301.32""","NULL","{'order_items': 'raw_order_items contain unexpected data'}"
"9","3fee45a4-a187-40a3-a621-5937857226ec",1,"2025-04-16 3:10:36","Company B","male","Abandoned Cart US No Consent","387.39","ClosedLost","2025-04-18 13:23:22","en_US","NULL","NULL","Abandoned Cart Automation","['6976330563658', '7078749798474', '7078742851658', '7740375040074', '7078751404106', '7410237505610', '7819141611594', '7078751600714', '7760580411466', '7802795262026', '7078750421066', '7548436709450', '7718752321610', '7626326016074', '7451804434506', '7902934794314', '7805693198410', '7078741704778', '7828631715914', '7805697392714', '7789656703050', '7718755434570', '7643297284170', '7789656506442', '7805692379210', '7805691232330', '7768523112522', '7861416788042', '7805694771274', '7768517017674', '7478529097802', '7505829003338', '7718753894474', '7768523767882', '7901484351562', '7860501938250', '7788820267082', '7508754137162', '7078742327370', '7787460100170', '7414215016522', '7718909083722', '7829300215882', '7840681230410', '7829312503882', '7078742097994', '7829331640394', '7861440675914', '7789656735818', '7861439135818', '7409735598154', '7861418524746', '7510660284490', '7435092623434', '7917351862346', '7902058807370', '7828644134986', '7831288807498', '7861442150474', '7802861813834', '7788816695370', '7861443035210', '7777799733322', '7508017086538', '7078742523978', '7785490153546', '7860523925578', '7805695852618', '7788822954058', '7505869799498', '7861414101066', '7078742622282', '7767764435018', '7415266246730', '7767849369674', '7078742687818', '7717083021386', '7828637220938', '7643294892106', '7805696639050', '7759221424202', '7783798374474', '7817060712522', '7483449999434', '7902058184778', '7775961022538', '7469777485898', '7078743375946', '7638853713994', '7498908500042', '7783917944906', '7907375906890', '7516645032010']","""[{product_id"": 6976330563658,item_id: ""n/a""},{""product_id"": 7078749798474,item_id: ""n/a""},{""product_id"": 7078742851658,item_id: ""n/a""},{""product_id"": 7740375040074,item_id: ""n/a""},{""product_id"": 7078751404106,item_id: ""n/a""},{""product_id"": 7410237505610,item_id: ""n/a""},{""product_id"": 7819141611594,item_id: ""n/a""},{""product_id"": 7078751600714,item_id: ""n/a""},{""product_id"": 7760580411466,item_id: ""n/a""},{""product_id"": 7802795262026,item_id: ""n/a""},{""product_id"": 7078750421066,item_id: ""n/a""},{""product_id"": 7548436709450,item_id: ""n/a""},{""product_id"": 7718752321610,item_id: ""n/a""},{""product_id"": 7626326016074,item_id: ""n/a""},{""product_id"": 7451804434506,item_id: ""n/a""},{""product_id"": 7902934794314,item_id: ""n/a""},{""product_id"": 7805693198410,item_id: ""n/a""},{""product_id"": 7078741704778,item_id: ""n/a""},{""product_id"": 7828631715914,item_id: ""n/a""},{""product_id"": 7805697392714,item_id: ""n/a""},{""product_id"": 7789656703050,item_id: ""n/a""},{""product_id"": 7718755434570,item_id: ""n/a""},{""product_id"": 7643297284170,item_id: ""n/a""},{""product_id"": 7789656506442,item_id: ""n/a""},{""product_id"": 7805692379210,item_id: ""n/a""},{""product_id"": 7805691232330,item_id: ""n/a""},{""product_id"": 7768523112522,item_id: ""n/a""},{""product_id"": 7861416788042,item_id: ""n/a""},{""product_id"": 7805694771274,item_id: ""n/a""},{""product_id"": 7768517017674,item_id: ""n/a""},{""product_id"": 7478529097802,item_id: ""n/a""},{""product_id"": 7505829003338,item_id: ""n/a""},{""product_id"": 7718753894474,item_id: ""n/a""},{""product_id"": 7768523767882,item_id: ""n/a""},{""product_id"": 7901484351562,item_id: ""n/a""},{""product_id"": 7860501938250,item_id: ""n/a""},{""product_id"": 7788820267082,item_id: ""n/a""},{""product_id"": 7508754137162,item_id: ""n/a""},{""product_id"": 7078742327370,item_id: ""n/a""},{""product_id"": 7787460100170,item_id: ""n/a""},{""product_id"": 7414215016522,item_id: ""n/a""},{""product_id"": 7718909083722,item_id: ""n/a""},{""product_id"": 7829300215882,item_id: ""n/a""},{""product_id"": 7840681230410,item_id: ""n/a""},{""product_id"": 7829312503882,item_id: ""n/a""},{""product_id"": 7078742097994,item_id: ""n/a""},{""product_id"": 7829331640394,item_id: ""n/a""},{""product_id"": 7861440675914,item_id: ""n/a""},{""product_id"": 7789656735818,item_id: ""n/a""},{""product_id"": 7861439135818,item_id: ""n/a""},{""product_id"": 7409735598154,item_id: ""n/a""},{""product_id"": 7861418524746,item_id: ""n/a""},{""product_id"": 7510660284490,item_id: ""n/a""},{""product_id"": 7435092623434,item_id: ""n/a""},{""product_id"": 7917351862346,item_id: ""n/a""},{""product_id"": 7902058807370,item_id: ""n/a""},{""product_id"": 7828644134986,item_id: ""n/a""},{""product_id"": 7831288807498,item_id: ""n/a""},{""product_id"": 7861442150474,item_id: ""n/a""},{""product_id"": 7802861813834,item_id: ""n/a""},{""product_id"": 7788816695370,item_id: ""n/a""},{""product_id"": 7861443035210,item_id: ""n/a""},{""product_id"": 7777799733322,item_id: ""n/a""},{""product_id"": 7508017086538,item_id: ""n/a""},{""product_id"": 7078742523978,item_id: ""n/a""},{""product_id"": 7785490153546,item_id: ""n/a""},{""product_id"": 7860523925578,item_id: ""n/a""},{""product_id"": 7805695852618,item_id: ""n/a""},{""product_id"": 7788822954058,item_id: ""n/a""},{""product_id"": 7505869799498,item_id: ""n/a""},{""product_id"": 7861414101066,item_id: ""n/a""},{""product_id"": 7078742622282,item_id: ""n/a""},{""product_id"": 7767764435018,item_id: ""n/a""},{""product_id"": 7415266246730,item_id: ""n/a""},{""product_id"": 7767849369674,item_id: ""n/a""},{""product_id"": 7078742687818,item_id: ""n/a""},{""product_id"": 7717083021386,item_id: ""n/a""},{""product_id"": 7828637220938,item_id: ""n/a""},{""product_id"": 7643294892106,item_id: ""n/a""},{""product_id"": 7805696639050,item_id: ""n/a""},{""product_id"": 7759221424202,item_id: ""n/a""},{""product_id"": 7783798374474,item_id: ""n/a""},{""product_id"": 7817060712522,item_id: ""n/a""},{""product_id"": 7483449999434,item_id: ""n/a""},{""product_id"": 7902058184778,item_id: ""n/a""},{""product_id"": 7775961022538,item_id: ""n/a""},{""product_id"": 7469777485898,item_id: ""n/a""},{""product_id"": 7078743375946,item_id: ""n/a""},{""product_id"": 7638853713994,item_id: ""n/a""},{""product_id"": 7498908500042,item_id: ""n/a""},{""product_id"": 7783917944906,item_id: ""n/a""},{""product_id"": 7907375906890,item_id: ""n/a""},{""product_id"": 7516645032010,item_id: ""n/a""}]"",387.39""","NULL","{'order_items': 'raw_order_items contain unexpected data'}"
