conversation_id,outcome,duration_seconds
2020-09-30-21-57-46_32218fee-6960-41b8-83a1-744db17844e2_v2c3D2tlSPCgJjOZEyumvRzF6JzeRoNm3XX0wxxZOQillle0uHEzg6gQ,customer not interested,1421.0
2020-03-13-21-32-36_04169AB3B73541EC97D0175A749A6CCF_2801932a-6572-11ea-bad3-1f234d52e645,customer not interested,
2020-09-22-16-17-21_e7d16c5d-fe74-43a8-b45e-e80b7ab2c941_v2ggyEJc53ws7kJQcajGCT1GEIzRG1jJS0dNaCLPoT64vFhAOkq0Wvmg,customer not interested,303.0
2020-09-04-19-58-02_3daaef00-cac2-4a2b-8869-c6124163545f_v2ITeIfq8gv7mIhxDpaqZ2zakpuhqMPB-xNij1pZHF1RBsz7GgVL6ykw,customer not interested,
2020-03-31-15-35-51_4e343466-7365-11ea-9d35-12106bace1c7_4d15b7f8-7365-11ea-bad8-ad5479be80a3,customer not interested,
2020-09-29-19-15-15_7b84482a-1b8f-4908-8210-ba3d0addc06e_v2m-3swqvq5JUIKK1V2TzXi3GkxMC4XVTPXTdYMXB1ht_66L9HfWSR3g,customer not interested,1764.0
2020-10-01-15-29-44_f7da73d8-8cf0-4e98-8a6e-68322c5cc6a0_v2mRUuoFOk1z4CEAOVoEW_FrGjFsnWl57D13JWyXfXqfq1PSUZn99P5g,customer not interested,439.0
2020-09-22-21-35-40_8231d5bf-0c5a-4b74-ab90-46366c3d27ca_v2uMecncuqN3KcxDbm1jC8Re_w7F7FpjSrPQ678REiYsaMFdKqQ0tAaQ,customer not interested,962.0
2020-09-22-16-40-58_9d2e65f6-9651-4e8d-818f-72e4d3030306_v28efdh5XwacIxo2kasQgN9B-YsujhpOFQ4EaQvdU7G8a2QpUwNJQIvg,customer not interested,823.0
2020-09-24-21-33-42_697c1d15-3c89-4138-b34e-471f02a6c7bd_v2q6OJfOZGboHmmAiwfaPhI3FVVoZg6HbB4pKJ7bgTdWqM5EgFY7i2bA,customer not interested,1055.0
2020-10-02-15-07-51_39a770f4-a7c0-490d-999a-848af277f649_v2t2qvEEiOLvtpa3NN7K5N7ajzLxx6PtCkdEoK45n3-2rB-dyFdht15g,customer not interested,344.0
2020-03-27-17-06-09_42027768-704d-11ea-8a2d-0e50e0308201_40de611c-704d-11ea-aabf-553c66f42747,customer not interested,
2020-10-02-20-50-18_a6b6f252-66b3-4042-b277-fd681851da15_v2UggGq6U7ccZREaRkWfanEe8jwi7qEc6YlrB3e0Qu0TCw11_mHGrSgg,customer not interested,319.0
2020-07-14-15-27-24_d3649cbe-63f7-4a9c-96f9-bda31582cbcb_v2DGb5OoM-7-5vzDQKtYNibkHFRVnim2PwH-qZwzWRK8ePUnHBQ11DSQ,customer not interested,
2020-09-22-16-33-56_ea3544a3-8a0a-423a-9e98-4ceff25e5d68_v2Q1KnOWxCXxWt4BwuAeQqbFlXPuoXAxs2brUMro2DOUYlaHn3hBLQYw,customer not interested,836.0
2020-10-01-22-51-59_439fff7e-763f-4f27-9203-835645e9c437_v2XqKmDyYxrjYoJFMCkLk9scEB1YzPanLJeuHZ4EKWtiOkzyJPtD_KFA,customer not interested,1655.0
2020-09-14-23-17-46_4f554b68-1e8b-461e-a4d2-113c3de5b796_v2DmTphWTcKEcHar8AHIDRWkf6PYedyx5bs1ll46RKpdSvkUBsBMbd8w,customer not interested,
2020-10-05-19-05-48_ef0ab6ba-f603-4844-876d-62f98aab12a1_v2Dg0gXYZqAtzHU2P_fRgwrEiJ6ZAzdnyy5fAun7zmaNzNE8SfzTOK9A,customer not interested,251.0
2020-09-22-19-30-22_24e2a1e1-6c2c-4a9f-b643-ec62d56b3321_v2VbvGvmlVGw2sz2dv6145KIvycNWNxafQMmLZdHiAvxZOnXrLRqAAoA,customer not interested,330.0
2020-09-23-21-36-19_c2a54bdc-9cf3-4479-959a-e0a6869779e0_v2p4_H-4TDHe-pvqrbP_ojTTTHmo1G1SYuKc7NCpR--Z_oLibCoKzjkw,customer not interested,962.0
2020-10-02-15-35-33_9dd66c45-f332-4fa8-b511-b0bc3b9a6458_v2mmUKpAqow-6LF9yIBIbO2R0Oj2RMznL-9eJp5ObXG_Zi3RisoF7YAg,customer not interested,1025.0
2020-09-24-20-57-41_8b042b4b-9543-4cbc-832b-a4790e8c6a75_v2oQgsJQTOGNibE6B3W9NJVrou4C8AZzf9-q7V_t5BWlemNw-tQyMaRQ,customer not interested,301.0
